id	sentence	about_affect	about_spatial	about_topic
0	He saw Owen redden with pleasure , and laughed , flinging an arm <head>about</head> his shoulders so forgetfully that it was a worthy as well as a willing sacrifice Owen made for him , containing the pain of the embrace .	0	1	0
1	"` But I do ! "" she exclaimed , almost throwing herself back into his arms , and frenziedly clasping her hands <head>about</head> his neck ."	0	1	0
2	It would appear that , while there is a growing increase in awareness <head>about</head> the importance of evaluation in library user education programmes , many librarians still do not systematically evaluate their programmes .	0	0	1
3	However , people do not usually live in a state of high intellectual awareness <head>about</head> their every action , but simply get on with living .	0	0	1
4	A recent drama festival in Bihar , Central India , showed how it could be used to raise awareness <head>about</head> the region 's marginalised communities .	0	0	1
5	This had left a problem in raising public awareness <head>about</head> the shortage because people saw a lot of nurses ( mainly trainees ) around the RVH ; but they are not all qualified to carry out the work .	0	0	1
6	And through her appeal she hopes to raise public awareness <head>about</head> the desperate situation many thousands of women with fertility problems are in .	0	0	1
7	In the remainder of this chapter I will report some of the attitudes and beliefs <head>about</head> language expressed by some of my young informants .	0	0	1
8	Because beliefs <head>about</head> ourselves are self-fulfilling , these people will continue to find themselves in situations in which they can prove themselves right .	0	0	1
9	He allowed himself , or claimed to allow himself , no beliefs <head>about</head> the world which could n't be justified if , if , even if only in a very loose sense , by scientific canons of procedure .	0	0	1
10	"The question "" What do our beliefs <head>about</head> causation come to ? "" , it can be supposed , has no clear and plain answer ."	0	0	1
11	What are your beliefs <head>about</head> these emotions ?	0	0	1
12	The perception of the problem will differ , depending on such things as the views and experiences of individuals , and their beliefs <head>about</head> what is or what ought to be .	0	0	1
13	Or your negative beliefs <head>about</head> men ?	0	0	1
14	This project compares assumptions incorporated into social policies about these obligations , with people 's beliefs <head>about</head> them , and how such beliefs are put into practice .	0	0	1
15	In any society , we find beliefs <head>about</head> language that are simply accepted as common sense .	0	0	1
16	True beliefs are n't generally better than false ones in any moral sense : there is usually nothing morally wrong about being mistaken in one 's beliefs <head>about</head> matters of fact .	0	0	1
17	"But for the quick thinking of the two officers -- the first with his hunch <head>about</head> north Wales , the second with her code breaking -- we might have lost the whole team . """	0	0	1
18	I have a hunch <head>about</head> her -- she is definitely someone to watch for the future .	0	0	1
19	His hunch <head>about</head> the morals of blackmailing photographers was right .	0	0	1
20	Following his hunch <head>about</head> a probable escape route from the estate , one party entered the woods and followed the line of the perimeter fence to its north-eastern limit .	0	0	1
21	"` But I do n't know the first thing <head>about</head> baking , "" stammered Charlie as he fell back into his chair ."	0	0	1
22	"` I like to know everything <head>about</head> everyone . """	0	0	1
23	"` We knew nothing <head>about</head> Paul Mason or Jennifer 's involvement with him , "" said Rachel slowly ."	0	0	1
24	I did n't really know anything <head>about</head> poetry then , but he was my friend .	0	0	1
25	She knows nothing <head>about</head> this deal .	0	0	1
26	I know everything <head>about</head> you .	0	0	1
27	If he knew <head>about</head> the baby , what would he call me then ?	0	0	1
28	"` Did you know <head>about</head> the heroin in those tubes of toothpaste ? "" he asked ."	0	0	1
29	` In exchange I 'd love to hear what you know <head>about</head> Sabine Jourdain painting for Durance .	0	0	1
30	Another advantage of small chips with few address lines is that each cell of a chip only stores a very crude fragment of knowledge <head>about</head> the image on the retina .	0	0	1
31	The problem is dealt with mainly by presumptions <head>about</head> normal people .	0	0	1
32	Each model can cope with all the evidence and the choice between them is thrown back on criteria like elegance , economy , fruitfulness , or perhaps , indeed , conformity with deep underlying presumptions <head>about</head> human nature .	0	0	1
33	I think you should wait for that and do n't make any presumptions <head>about</head> the future of the runway .	0	0	1
34	Shakespeare 's drama is celebrated for its poetry , a compliment that on the surface suggests ideologically neutral approval of its language , but which also belies suppositions <head>about</head> the attitudes the plays ' language articulates .	0	0	1
35	There were suspicions <head>about</head> the role that Conservative Central Office played in orchestrating some of these manoeuvres .	0	0	1
36	Fate , it seemed , had played right into Luke 's hands , confirming his suspicions <head>about</head> her with illuminating certainty and damning her as a liar .	0	0	1
37	Perhaps it was part of a plan to hurt her , to punish her , for her unhappy suspicions <head>about</head> him .	0	0	1
38	They also had a deep suspicion <head>about</head> anyone wearing a bandage and would go to great lengths to find out why one was really wearing it .	0	0	1
39	He must show , on the balance of probabilities , both that he did not examine the article and that he entertained no suspicions <head>about</head> the nature of its contents .	0	0	1
40	I did n't think <head>about</head> Francis any more that night .	0	0	1
41	I thought carefully <head>about</head> what he had said .	0	0	1
42	She has encouraged me to talk about what happened before I got to that stage , and to think <head>about</head> what might have led up to it .	0	0	1
43	He did n't allow himself to think <head>about</head> Zoe until he arrived at the field entrance to the cottage .	0	0	1
