preposition	accuracy	occurence in test-data	different senses
across	0.96875	32	2
to	0.9322033898305084	118	10
on	0.875	88	19
with	0.9831932773109243	119	14
in	0.8561151079136691	139	12
of	0.9270833333333334	288	16
at	0.9577464788732394	71	9
inside	0.7142857142857143	7	3
during	0.875	8	2
from	0.8852459016393442	122	16
as	1.0	17	1
through	0.6511627906976745	43	13
for	0.9263157894736842	95	11
along	1.0	36	3
like	0.8461538461538461	26	7
about	0.9859154929577465	71	4
into	0.8852459016393442	61	8
towards	1.0	22	4
down	0.9393939393939394	33	3
behind	0.8571428571428571	14	4
round	0.75	12	3
before	0.8	5	3
by	0.8461538461538461	52	8
against	0.9473684210526315	19	6
between	0.9130434782608695	23	6
onto	1.0	10	2
off	0.8125	16	4
beside	1.0	6	1
around	0.7631578947368421	38	5
over	0.8947368421052632	19	8
among	1.0	10	3
above	0.8	5	5
after	0.7777777777777778	9	6
beneath	0.8	5	3
